symbol,matched,live_entry,bt_entry,entry_gap_min,live_entry_px,bt_entry_px,entry_px_diff_bps,live_exit_px,bt_exit_px,exit_px_diff_bps,live_hold_h,bt_hold_h,live_pnl_pct,bt_pnl_pct
MRNA,False,2026-06-16 19:24:43.876810+00:00,,,,,,,,,,,,
MRNA,False,2026-06-16 19:24:44.610199+00:00,,,,,,,,,,,,
MRNA,True,2026-06-18 13:51:12.596030+00:00,2026-06-18 13:40:00+00:00,-11.209933833333334,61.54,65.31936622159041,614.1316577169995,58.38,60.92296879514832,435.58903651050343,97.06716395944444,0.16666666666666666,-0.0513487162820928,-0.0673061862163158
MRNA,False,2026-06-18 13:51:13.113206+00:00,,,,,,,,,,,,
MRNA,False,2026-06-18 13:51:13.886982+00:00,,,,,,,,,,,,
MRNA,False,2026-06-18 13:51:14.658672+00:00,,,,,,,,,,,,
MRNA,False,2026-06-18 13:51:16.007090+00:00,,,,,,,,,,,,
MRNA,False,2026-06-18 13:51:16.632746+00:00,,,,,,,,,,,,
MRNA,False,2026-06-18 13:51:16.632746+00:00,,,,,,,,,,,,
MRNA,False,2026-06-25 13:51:06.217112+00:00,,,,,,,,,,,,
MRNA,False,2026-06-25 13:51:06.217112+00:00,,,,,,,,,,,,
MRNA,False,2026-06-25 13:51:07.079508+00:00,,,,,,,,,,,,
MRNA,False,2026-06-25 13:51:07.079508+00:00,,,,,,,,,,,,
MRNA,False,2026-06-25 13:51:07.079508+00:00,,,,,,,,,,,,
MRNA,False,2026-06-25 13:51:07.079508+00:00,,,,,,,,,,,,
MRVL,True,2026-03-20 15:10:36.999952+00:00,2026-03-20 15:00:00+00:00,-10.616665866666667,89.49,89.71193178260431,24.799618125412362,101.0,96.52781382545984,-442.79071035051044,286.3479742425,166.08333333333334,0.1286177226505755,0.0759752009283692
MRVL,False,2026-03-20 15:10:36.999952+00:00,,,,,,,,,,,,
MRVL,True,2026-04-06 13:47:58.948614+00:00,2026-04-06 13:40:00+00:00,-7.9824769,109.27,110.64120358404942,125.4876529742313,126.3,110.68083969804869,-1236.6714411679582,95.72258233972222,47.916666666666664,0.1558524755193557,0.0003582400833985
MRVL,False,2026-04-10 13:48:03.977355+00:00,,,,,,,,,,,,
MRVL,False,2026-04-10 13:48:05.797306+00:00,,,,,,,,,,,,
MRVL,False,2026-04-10 13:48:06.660301+00:00,,,,,,,,,,,,
MRVL,False,2026-04-10 13:48:07.315650+00:00,,,,,,,,,,,,
MRVL,False,2026-04-10 13:48:08.170238+00:00,,,,,,,,,,,,
MRVL,False,2026-04-10 13:48:09.668206+00:00,,,,,,,,,,,,
MRVL,False,2026-04-10 13:48:10.648429+00:00,,,,,,,,,,,,
MRVL,False,2026-04-10 13:48:12.494305+00:00,,,,,,,,,,,,
MRVL,False,2026-05-18 13:00:14.153717+00:00,,,,,,,,,,,,
MRVL,False,2026-05-18 13:00:14.403637+00:00,,,,,,,,,,,,
MRVL,False,2026-05-18 13:00:15.030712+00:00,,,,,,,,,,,,
MRVL,False,2026-05-18 13:25:45.644792+00:00,,,,,,,,,,,,
MRVL,False,2026-05-18 13:25:46.332164+00:00,,,,,,,,,,,,
MRVL,False,2026-05-18 13:25:46.332164+00:00,,,,,,,,,,,,
MRVL,True,2026-05-19 13:46:35.437226+00:00,2026-05-19 13:40:00+00:00,-6.590620433333333,169.28,172.0921266835371,166.12279557756898,189.84,177.3387661048179,-658.5142169817799,24.02550575861111,8.083333333333334,0.1214555765595463,0.0304873879031603
MRVL,False,2026-05-19 13:46:35.437226+00:00,,,,,,,,,,,,
MRVL,False,2026-05-19 13:46:35.437226+00:00,,,,,,,,,,,,
MRVL,False,2026-05-19 13:46:35.437226+00:00,,,,,,,,,,,,
MRVL,False,2026-05-19 13:46:35.437226+00:00,,,,,,,,,,,,
MRVL,True,2026-05-20 13:51:04.680038+00:00,2026-05-20 13:40:00+00:00,-11.078000633333334,189.18,190.16026177785216,51.81635362364676,212.0,188.5960873727942,-1103.958142792727,143.87018817472222,8.083333333333334,0.1206258589702928,-0.0082255587494155
MRVL,False,2026-05-20 13:51:06.099790+00:00,,,,,,,,,,,,
MRVL,False,2026-05-20 13:51:06.099790+00:00,,,,,,,,,,,,
MRVL,False,2026-05-20 13:51:06.099790+00:00,,,,,,,,,,,,
MRVL,False,2026-05-20 13:51:13.832455+00:00,,,,,,,,,,,,
MRVL,False,2026-06-02 10:44:17.904565+00:00,,,,,,,,,,,,
MRVL,False,2026-06-02 10:44:18.511928+00:00,,,,,,,,,,,,
MRVL,False,2026-06-02 10:44:18.511928+00:00,,,,,,,,,,,,
MRVL,False,2026-06-02 10:44:18.511928+00:00,,,,,,,,,,,,
MRVL,False,2026-06-02 10:44:18.998840+00:00,,,,,,,,,,,,
MRVL,False,2026-06-08 19:02:35.155992+00:00,,,,,,,,,,,,
MRVL,False,2026-06-08 19:02:35.796519+00:00,,,,,,,,,,,,
MRVL,False,2026-06-08 19:45:16.313525+00:00,,,,,,,,,,,,
MRVL,False,2026-06-08 19:45:16.313525+00:00,,,,,,,,,,,,
MRVL,False,2026-06-08 19:45:16.313525+00:00,,,,,,,,,,,,
MRVL,False,2026-06-08 19:45:17.334840+00:00,,,,,,,,,,,,
MRVL,False,2026-06-08 19:45:17.334840+00:00,,,,,,,,,,,,
MRVL,False,2026-06-08 19:45:19.283971+00:00,,,,,,,,,,,,
MRVL,False,2026-06-11 12:19:24.521289+00:00,,,,,,,,,,,,
MRVL,False,2026-06-11 12:19:24.892703+00:00,,,,,,,,,,,,
MRVL,False,2026-06-11 12:19:24.892703+00:00,,,,,,,,,,,,
MRVL,False,2026-06-11 12:19:24.892703+00:00,,,,,,,,,,,,
MRVL,False,2026-06-11 12:19:24.892703+00:00,,,,,,,,,,,,
MRVL,True,2026-06-16 13:57:41.420929+00:00,2026-06-16 13:45:00+00:00,-12.690348816666667,310.71,311.32714006114475,19.862252941481337,294.82,294.9002032951342,2.72041568191429,1.5185577375,1.75,-0.0511409352772681,-0.0527642298155705
MRVL,False,2026-06-16 13:57:42.413367+00:00,,,,,,,,,,,,
MRVL,False,2026-06-16 13:57:42.619851+00:00,,,,,,,,,,,,
MRVL,False,2026-06-16 13:57:43.256807+00:00,,,,,,,,,,,,
MRVL,False,2026-06-16 13:57:44.449308+00:00,,,,,,,,,,,,
MRVL,False,2026-06-16 13:57:44.775138+00:00,,,,,,,,,,,,
MRVL,False,2026-06-16 13:57:44.775138+00:00,,,,,,,,,,,,
MRVL,False,2026-06-16 13:57:44.775138+00:00,,,,,,,,,,,,
MRVL,False,2026-08-17 18:11:15.885231+00:00,,,,,,,,,,,,
MRVL,False,2026-08-17 19:05:01.216137+00:00,,,,,,,,,,,,
MRVL,False,2026-08-17 19:07:00.949446+00:00,,,,,,,,,,,,
MRVL,False,2026-08-17 19:07:02.344220+00:00,,,,,,,,,,,,
MRVL,False,2026-08-17 19:07:03.047423+00:00,,,,,,,,,,,,
MRVL,False,2026-08-17 19:07:03.776297+00:00,,,,,,,,,,,,
MRVL,False,2026-08-17 19:07:04.920363+00:00,,,,,,,,,,,,
MRVL,False,2026-08-17 19:07:05.156243+00:00,,,,,,,,,,,,
MRVL,False,2026-08-17 19:07:05.998172+00:00,,,,,,,,,,,,
MSFT,False,2026-05-04 22:53:45.952278+00:00,,,,,,,,,,,,
MSFT,False,2026-05-04 22:53:46.250096+00:00,,,,,,,,,,,,
MSFT,False,2026-05-04 22:53:46.480311+00:00,,,,,,,,,,,,
MSFT,False,2026-05-04 22:53:46.673712+00:00,,,,,,,,,,,,
MSTR,True,2026-03-09 13:53:21.037771+00:00,2026-03-09 13:50:00+00:00,-3.3506295166666664,137.4,137.64557064877877,17.872681861627843,130.16,141.2297757369084,850.4744727188393,431.6171693847222,98.25,-0.0526928675400291,0.026039378319519
MSTR,False,2026-03-09 13:53:21.037771+00:00,,,,,,,,,,,,
MSTR,False,2026-04-09 13:57:17.524797+00:00,,,,,,,,,,,,
MSTR,False,2026-04-09 13:57:18.284694+00:00,,,,,,,,,,,,
MSTR,False,2026-04-09 13:57:18.284694+00:00,,,,,,,,,,,,
MSTR,False,2026-04-09 13:57:19.078281+00:00,,,,,,,,,,,,
MSTR,False,2026-04-27 17:40:47.776053+00:00,,,,,,,,,,,,
MSTR,False,2026-06-10 18:44:51.143675+00:00,,,,,,,,,,,,
MSTR,False,2026-06-10 19:21:54.240078+00:00,,,,,,,,,,,,
MSTR,False,2026-06-10 19:21:54.461571+00:00,,,,,,,,,,,,
MSTR,False,2026-06-10 19:21:55.232734+00:00,,,,,,,,,,,,
MSTR,True,2026-06-22 14:02:45.999013+00:00,2026-06-22 13:50:00+00:00,-12.766650216666667,117.91,119.2601024176316,114.50279175910471,111.89,112.6451416518955,67.48964625037979,1.9190522719444445,1.8333333333333333,-0.0510558900856585,-0.0554666701741667
MSTR,False,2026-06-22 14:02:45.999013+00:00,,,,,,,,,,,,
MSTR,False,2026-06-22 14:02:45.999013+00:00,,,,,,,,,,,,
MSTR,False,2026-06-22 14:02:45.999013+00:00,,,,,,,,,,,,
MSTR,False,2026-06-22 14:02:45.999013+00:00,,,,,,,,,,,,
MSTR,False,2026-06-22 14:02:45.999013+00:00,,,,,,,,,,,,
MSTR,False,2026-06-22 14:02:45.999013+00:00,,,,,,,,,,,,
