symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_pct,hold_hours,same_day_round_trip,entry_extended_hours,exit_extended_hours,source
SNAP,2026-08-28 14:00:01.195620+00:00,2026-08-31 13:31:48.268500+00:00,5.51,5.62,561.0,61.71000000000018,0.0199637023593467,71.52974246666666,False,True,False,live
SNAP,2026-08-28 14:00:01.894424+00:00,2026-08-31 13:31:48.268500+00:00,5.51,5.62,2852.0,313.72000000000094,0.0199637023593467,71.52954835444444,False,True,False,live
RKLB,2026-08-26 14:25:51.562910+00:00,2026-08-31 13:32:41.376119+00:00,66.78,63.63,6.0,-18.89999999999999,-0.04716981132075469,119.11383700249999,False,True,False,live
SNAP,2026-08-28 14:00:01.894424+00:00,2026-08-31 13:34:53.976953+00:00,5.51,5.56,301.0,15.049999999999947,0.00907441016333935,71.58113403583333,False,True,False,live
SNAP,2026-08-28 14:00:03.026322+00:00,2026-08-31 13:34:53.976953+00:00,5.51,5.56,99.0,4.949999999999982,0.00907441016333935,71.58081961972222,False,True,False,live
SNAP,2026-08-28 14:00:03.752083+00:00,2026-08-31 13:34:53.976953+00:00,5.51,5.56,82.0,4.099999999999985,0.00907441016333935,71.58061801944444,False,True,False,live
RKLB,2026-08-26 14:25:51.562910+00:00,2026-08-31 13:35:17.828283+00:00,66.78,63.11,132.0,-484.4400000000002,-0.054956573824498374,119.15729593694445,False,True,False,live
SNAP,2026-08-28 14:00:03.752083+00:00,2026-08-31 13:36:10.832711+00:00,5.51,5.57,10.0,0.600000000000005,0.010889292196007351,71.6019668411111,False,True,False,live
RKLB,2026-08-26 14:25:51.943488+00:00,2026-08-31 13:36:26.962581+00:00,66.77,63.12,178.0,-649.6999999999997,-0.054665268833308356,119.1763941925,False,True,False,live
RKLB,2026-08-26 14:25:51.562910+00:00,2026-08-31 13:36:26.962581+00:00,66.78,63.12,235.0,-860.1000000000008,-0.054806828391734105,119.17649990861112,False,True,False,live
RKLB,2026-08-26 14:25:52.657290+00:00,2026-08-31 13:36:26.962581+00:00,66.77,63.12,195.0,-711.7499999999998,-0.054665268833308356,119.17619591416667,False,True,False,live
MRVL,2026-08-28 13:42:41.301207+00:00,2026-08-31 13:36:48.200344+00:00,225.43,214.35,1.0,-11.080000000000013,-0.04915051235416765,71.90191642694444,False,True,False,live
MRVL,2026-08-28 13:42:41.386490+00:00,2026-08-31 13:36:48.200344+00:00,225.43,214.35,46.0,-509.6800000000006,-0.04915051235416765,71.90189273722223,False,True,False,live
MRVL,2026-08-28 13:42:39.291290+00:00,2026-08-31 13:36:48.200344+00:00,225.27,214.35,4.0,-43.680000000000064,-0.04847516313756832,71.90247473722222,False,True,False,live
MRVL,2026-08-28 13:42:37.623649+00:00,2026-08-31 13:36:48.200344+00:00,225.43,214.35,3.0,-33.24000000000004,-0.04915051235416765,71.90293797083334,False,True,False,live
MRVL,2026-08-28 13:42:37.269732+00:00,2026-08-31 13:36:48.200344+00:00,225.43,214.35,1.0,-11.080000000000013,-0.04915051235416765,71.90303628111111,False,True,False,live
MRVL,2026-08-28 13:42:36.904933+00:00,2026-08-31 13:36:48.200344+00:00,225.39,214.35,29.0,-320.15999999999974,-0.0489817649407693,71.90313761416667,False,True,False,live
MRVL,2026-08-28 13:42:36.668612+00:00,2026-08-31 13:36:48.200344+00:00,225.39,214.35,37.0,-408.4799999999997,-0.0489817649407693,71.9032032588889,False,True,False,live
MRVL,2026-08-28 13:42:36.558070+00:00,2026-08-31 13:36:48.200344+00:00,225.39,214.35,103.0,-1137.1199999999992,-0.0489817649407693,71.903233965,False,True,False,live
SNAP,2026-08-28 14:00:03.752083+00:00,2026-08-31 13:37:12.219518+00:00,5.51,5.62,41.0,4.510000000000013,0.0199637023593467,71.61901873194445,False,True,False,live
SNAP,2026-08-28 14:00:03.752083+00:00,2026-08-31 13:37:52.656266+00:00,5.51,5.59,24.0,1.9200000000000017,0.014519056261343026,71.63025116194444,False,True,False,live
SNAP,2026-08-28 14:00:04.920932+00:00,2026-08-31 13:37:52.656266+00:00,5.51,5.59,5.0,0.40000000000000036,0.014519056261343026,71.62992648166667,False,True,False,live
SNAP,2026-08-28 14:00:04.920932+00:00,2026-08-31 13:38:07.356702+00:00,5.51,5.58,5.0,0.3500000000000014,0.012704174228675189,71.63400993611111,False,True,False,live
SNAP,2026-08-28 14:00:05.285329+00:00,2026-08-31 13:38:07.356702+00:00,5.51,5.58,4.0,0.28000000000000114,0.012704174228675189,71.63390871472222,False,True,False,live
SNAP,2026-08-28 14:00:06.659952+00:00,2026-08-31 13:38:07.356702+00:00,5.51,5.58,11.0,0.7700000000000031,0.012704174228675189,71.633526875,False,True,False,live
SOXL,2026-08-31 13:45:29.253579+00:00,2026-09-01 13:31:05.683247+00:00,112.62,106.33,21.0,-132.09000000000015,-0.05585153613922932,23.760119352222222,False,True,False,live
